package,version_code,version_name,title,category,rating,download,date_published,developer,total_permissions,permissions
com.popularapp.periodcalendar,33,"1.32","Period Calendar / Tracker",Health & Fitness,4.737329,10000000,2013-09-10,"ABISHKKING",9,"android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_EXTERNAL_STORAGE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.VIBRATE,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.GET_ACCOUNTS,android.permission.WAKE_LOCK,android.permission.SYSTEM_ALERT_WINDOW"
com.popularapp.periodcalendar,42,"1.38","Period Calendar / Tracker",Health & Fitness,4.7440114,10000000,2013-12-12,"ABISHKKING",9,"android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_EXTERNAL_STORAGE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.VIBRATE,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.GET_ACCOUNTS,android.permission.USE_CREDENTIALS,android.permission.MANAGE_ACCOUNTS"
com.myfitnesspal.android,3426,"2.7.4","Calorie Counter - MyFitnessPal",Health & Fitness,4.74473,10000000,2013-08-13,"MyFitnessPal, LLC",14,"android.permission.ACCESS_COARSE_LOCATION,android.permission.READ_CONTACTS,android.permission.CHANGE_WIFI_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.ACCESS_NETWORK_STATE,android.permission.WAKE_LOCK,android.permission.CHANGE_NETWORK_STATE,android.permission.INTERNET,android.permission.CAMERA,android.permission.VIBRATE,android.permission.FLASHLIGHT,android.permission.READ_PHONE_STATE,com.myfitnesspal.android.permission.C2D_MESSAGE,com.google.android.c2dm.permission.RECEIVE"
com.myfitnesspal.android,3862,"2.8.4","Calorie Counter - MyFitnessPal",Health & Fitness,4.7385716,10000000,2013-11-20,"MyFitnessPal, Inc.",13,"android.permission.ACCESS_COARSE_LOCATION,android.permission.READ_CONTACTS,android.permission.CHANGE_WIFI_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.ACCESS_NETWORK_STATE,android.permission.WAKE_LOCK,android.permission.CHANGE_NETWORK_STATE,android.permission.INTERNET,android.permission.CAMERA,android.permission.VIBRATE,android.permission.FLASHLIGHT,com.myfitnesspal.android.permission.C2D_MESSAGE,com.google.android.c2dm.permission.RECEIVE"
com.fatsecret.android,64,"3.0.7","Calorie Counter by FatSecret",Health & Fitness,4.3046436,10000000,2013-08-29,"FatSecret",7,"android.permission.CAMERA,android.permission.ACCESS_COARSE_LOCATION,android.permission.INTERNET,android.permission.READ_PHONE_STATE,android.permission.ACCESS_NETWORK_STATE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_EXTERNAL_STORAGE"
com.fatsecret.android,71,"3.1.1","Calorie Counter by FatSecret",Health & Fitness,4.2996445,10000000,2013-11-21,"FatSecret",7,"android.permission.CAMERA,android.permission.ACCESS_COARSE_LOCATION,android.permission.INTERNET,android.permission.READ_PHONE_STATE,android.permission.ACCESS_NETWORK_STATE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_EXTERNAL_STORAGE"
com.google.android.maps.mytracks,74,"2.0.6","My Tracks",Health & Fitness,4.3656473,10000000,2014-01-30,"Google Inc.",28,"android.permission.RECEIVE_BOOT_COMPLETED,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.WAKE_LOCK,com.google.android.gms.permission.ACTIVITY_RECOGNITION,com.dsi.ant.permission.ANT,com.dsi.ant.permission.ANT_ADMIN,android.permission.BLUETOOTH,android.permission.BLUETOOTH_ADMIN,android.permission.GET_ACCOUNTS,android.permission.INTERNET,android.permission.MANAGE_ACCOUNTS,android.permission.USE_CREDENTIALS,com.google.android.googleapps.permission.GOOGLE_AUTH,com.google.android.googleapps.permission.GOOGLE_AUTH.local,android.permission.READ_SYNC_STATS,android.permission.READ_SYNC_SETTINGS,android.permission.WRITE_SYNC_SETTINGS,com.google.android.providers.gsf.permission.READ_GSERVICES,android.permission.READ_PHONE_STATE,android.permission.READ_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_CONTACTS,com.google.android.apps.mytracks.MYTRACKS_NOTIFICATIONS,com.google.android.apps.mytracks.READ_TRACK_DATA,com.google.android.apps.mytracks.WRITE_TRACK_DATA,com.google.android.maps.mytracks.permission.MAPS_RECEIVE"
com.google.android.maps.mytracks,70,"2.0.5","My Tracks",Health & Fitness,4.40626,10000000,2013-08-09,"Google Inc.",28,"android.permission.RECEIVE_BOOT_COMPLETED,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.WAKE_LOCK,com.google.android.gms.permission.ACTIVITY_RECOGNITION,com.dsi.ant.permission.ANT,com.dsi.ant.permission.ANT_ADMIN,android.permission.BLUETOOTH,android.permission.BLUETOOTH_ADMIN,android.permission.GET_ACCOUNTS,android.permission.INTERNET,android.permission.MANAGE_ACCOUNTS,android.permission.USE_CREDENTIALS,com.google.android.googleapps.permission.GOOGLE_AUTH,com.google.android.googleapps.permission.GOOGLE_AUTH.local,android.permission.READ_SYNC_STATS,android.permission.READ_SYNC_SETTINGS,android.permission.WRITE_SYNC_SETTINGS,com.google.android.providers.gsf.permission.READ_GSERVICES,android.permission.READ_PHONE_STATE,android.permission.READ_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_CONTACTS,com.google.android.apps.mytracks.MYTRACKS_NOTIFICATIONS,com.google.android.apps.mytracks.READ_TRACK_DATA,com.google.android.apps.mytracks.WRITE_TRACK_DATA,com.google.android.maps.mytracks.permission.MAPS_RECEIVE"
com.mufumbo.android.recipe.search,262,"4.62","Allthecooks Recipes",Health & Fitness,4.3323283195495605,10000000,2014-06-13,"Allthecooks, LLC.",14,"android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.READ_PHONE_STATE,android.permission.VIBRATE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.GET_ACCOUNTS,android.permission.USE_CREDENTIALS,android.permission.ACCESS_COARSE_LOCATION,com.mufumbo.android.recipe.search.permission.C2D_MESSAGE,com.google.android.c2dm.permission.RECEIVE,android.permission.WAKE_LOCK,com.android.vending.BILLING,com.kindredprints.sdk.PHOTO_EXPORT,android.permission.READ_EXTERNAL_STORAGE"
com.mufumbo.android.recipe.search,265,"4.65","Allthecooks Recipes",Health & Fitness,4.332462310791016,10000000,2014-06-21,"Allthecooks, LLC.",14,"android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.READ_PHONE_STATE,android.permission.VIBRATE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.GET_ACCOUNTS,android.permission.USE_CREDENTIALS,android.permission.ACCESS_COARSE_LOCATION,com.mufumbo.android.recipe.search.permission.C2D_MESSAGE,com.google.android.c2dm.permission.RECEIVE,android.permission.WAKE_LOCK,com.android.vending.BILLING,com.kindredprints.sdk.PHOTO_EXPORT,android.permission.READ_EXTERNAL_STORAGE"
com.tinymission.dailyabworkoutfree1,42,"2.52","Daily Ab Workout FREE",Health & Fitness,4.5163074,5000000,2013-09-06,"Daily Workout Apps, LLC",13,"android.permission.INTERNET,android.permission.READ_PHONE_STATE,android.permission.ACCESS_NETWORK_STATE,android.permission.GET_ACCOUNTS,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_WIFI_STATE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_LOGS,android.permission.GET_TASKS,android.permission.CALL_PHONE,android.permission.SEND_SMS,android.permission.READ_EXTERNAL_STORAGE"
com.tinymission.dailyabworkoutfree1,44,"2.64","Daily Ab Workout FREE",Health & Fitness,4.505777,5000000,2013-11-18,"Daily Workout Apps, LLC",7,"android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.GET_ACCOUNTS,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_WIFI_STATE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_EXTERNAL_STORAGE"
com.wsl.noom,182,"4.1.8","Noom Weight Loss Coach",Health & Fitness,4.31550931930542,10000000,2014-06-20,"Noom Inc.",25,"android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.WAKE_LOCK,android.permission.GET_ACCOUNTS,android.permission.MANAGE_ACCOUNTS,android.permission.USE_CREDENTIALS,android.permission.VIBRATE,android.permission.BLUETOOTH_ADMIN,android.permission.BLUETOOTH,android.permission.READ_PHONE_STATE,android.permission.CAMERA,com.android.launcher.permission.INSTALL_SHORTCUT,com.android.vending.BILLING,android.permission.READ_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.MOUNT_UNMOUNT_FILESYSTEMS,android.permission.READ_SYNC_STATS,android.permission.READ_SYNC_SETTINGS,android.permission.WRITE_SYNC_SETTINGS,com.wsl.noom.permission.C2D_MESSAGE,com.google.android.c2dm.permission.RECEIVE,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION"
com.wsl.noom,181,"4.1.7","Noom Weight Loss Coach",Health & Fitness,4.31646203994751,10000000,2014-06-12,"Noom Inc.",25,"android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.WAKE_LOCK,android.permission.GET_ACCOUNTS,android.permission.MANAGE_ACCOUNTS,android.permission.USE_CREDENTIALS,android.permission.VIBRATE,android.permission.BLUETOOTH_ADMIN,android.permission.BLUETOOTH,android.permission.READ_PHONE_STATE,android.permission.CAMERA,com.android.launcher.permission.INSTALL_SHORTCUT,com.android.vending.BILLING,android.permission.READ_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.MOUNT_UNMOUNT_FILESYSTEMS,android.permission.READ_SYNC_STATS,android.permission.READ_SYNC_SETTINGS,android.permission.WRITE_SYNC_SETTINGS,com.wsl.noom.permission.C2D_MESSAGE,com.google.android.c2dm.permission.RECEIVE,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION"
