comments,words
0,"['with', 'no', 'option', 'resume', 'tracking', 'process', 'after', 'force', 'close', 'plus', 'app', 'itself', 'so', 'demanding', 'when', 'it', 'comes', 'resources', 'edit', 'recent', 'updates', 'are', 'premium', 'only', 'app', 'getting', 'ugly', 'without', 'trying', 'fix', 'main', 'bugs']"
1,"['run', 'endomondo', 'on', 'blackberry', 'torch', '9800', 'on', 'samsung', 'galaxy', 's2', 'it', 'sems', 'bit', 'more', 'reliable', 'on', 'blackberry', 'but', 'sometimes', 'it', 'also', 'fails', 'aquire', 'gps', 'signal', 'on', 'bb', 'samsung', 'galaxy', 's2', 'even', 'worst', 'it', 'almost', 'never', 'picks', 'up', 'gps', 'if', 'it', 'does', 'it', 'drops', 'it', 'continously', 'so', 'when', 'get', 'my', 'first', 'mile', 'it', 'says', 'only', 'have', 'miles', 'so', 'until', 'they', 'fix', 'gps', 'acuracy', 'on', 'software', 'raye', 'this', 'below', 'average', 'when', 'it', 'works', 'awesome', 'though']"
2,"['love', 'design', 'of', 'this', 'app', 'it', 'better', 'than', 'anything', 'else', 'of', 'its', 'type', 'however', 'on', 'my', 'device', 'galaxy', 's3', 'running', 'cyanogenmod', 'distance', 'measurements', 'are', 'inaccurate', 'unreliable', 'it', 'not', 'uncommon', 'for', 'voice', 'coach', 'tell', 'me', 'ran', 'mile', 'in', '43', 'only', 'have', 'ui', 'show', 'me', 'ran', 'that', 'mile', 'in', '27', 'also', 'it', 'seems', 'lose', 'its', 'gps', 'signal', 'every', '3rd', 'or', '4th', 'time', 'go', 'out', 'all', 'of', 'my', 'other', 'location', 'based', 'apps', 'work', 'fine', ""it's""]"
3,"['never', 'expected', 'such', 'thing', 'what', 'you', 'guys', 'are', 'doing']"
4,"['endomondo', 'can', 'be', 'buggy', 'at', 'times', 'ads', 'upgrade', 'are', 'supremely', 'annoying', 'but', 'app', 'does', 'what', 'need', 'it', 'do', 'with', 'pretty', 'straightforward', 'interface', 'very', 'good', 'gps', 'tracking', 'system', 'some', 'cool', 'social', 'features']"
5,"['endomondo', 'great', 'for', 'tracking', 'workouts', 'all', 'related', 'stats', 'training', 'plan', 'features', 'for', 'premium', 'users', 'are', 'terrific', 'they', 'have', 'helped', 'give', 'me', 'customized', 'training', 'program', 'prepare', 'for', 'my', '10k', 'highly', 'recommended', 'app', 'use', 'it', 'almost', 'daily']"
6,"['sport', 'watches', 'can', 'be', 'expensive', 'but', 'your', 'smartphone', 'beats', 'them', 'all', 'in', 'functionality', 'with', 'it', 'larger', 'processor', 'this', 'app', 'essential', 'part', 'of', 'my', 'workouts', 'superior', 'any', 'sports', 'watch', ""it's""]"
7,"['love', 'new', 'update', 'have', 'been', 'using', 'this', 'app', 'every', 'day', 'since', 'august', 'it', 'just', 'gets', 'better', 'better']"
8,"['love', 'this', 'app', 'love', 'that', 'it', 'tracks', 'mileage', 'with', 'gps', 'gives', 'calories', 'burned', 'speed', 'how', 'much', 'hydrate', 'with', 'you', 'can', 'join', 'challages', 'love', 'that', 'you', 'can', 'log', 'in', 'online', 'manage', 'your', 'account', 'challanges', 'lots', 'more']"
9,"['awesome', 'app', 'only', 'wish', 'could', 'raise', 'voice', 'volume', 'not', 'change', 'music', 'volume', 'add', 'cadence', 'feature', 'well', 'tawesome', 'app', 'only', 'wish', 'could', 'raise', 'voice', 'volume', 'not', 'change', 'music', 'volume', 'also', 'find', 'friend', 'feature', 'cool']"
10,"['good', 'app', '304260', 'really', 'like', 'it', 'give', 'me', 'opportunity', 'track', 'my', 'result', 'etc', ""it's""]"
11,"['wanted', 'something', 'give', 'me', 'extra', 'push', 'get', 'me', 'out', 'door', 'keep', 'track', 'of', 'my', 'training', 'training', 'plan', 'got', 'my', 'paces', 'completely', 'wrong', 'for', '5k', 'multiple', 'times', 'it', 'also', 'requires', 'you', 'carry', 'device', 'record', 'workouts', 'prefer', 'not', 'take', 'my', 'phone', 'with', 'me', 'on', 'runs', 'so', 'there', 'no', 'compromise', 'option', 'for', 'recording', 'workouts', 'bummer', ""there's""]"
12,"['this', 'app', 'has', 'it', 'all', 'for', 'regular', 'workout', 'tracking', 'some', 'stats', 'are', 'unavailable', 'for', 'free', 'version', 'but', 'free', 'part', 'quite', 'informative', 'it', 'works', 'great', 'ia', 'really', 'accurate']"
13,"['task', 'time', 'audio', 'feedback', 'excellent', 'very', 'accurate', 'reporting', 'great', 'thanks', 'endo', 'people']"
14,"['works', 'flawlessly', 'with', 'my', 'nexus', 'would', 'give', 'it', 'stars', 'but', 'endomondo', 'will', 'not', 'take', 'on', 'simple', 'challenge', 'of', 'making', 'app', 'compatible', 'with', 'pebble', 'smart', 'watch', 'like', 'some', 'of', 'their', 'competitors', 'have', 'done']"
15,"['it', 'needs', 'calculate', 'steps', 'while', 'walking', 'or', 'running', 'like', 'other', 'applications', 'do']"
16,"['awesome', 'app', 'keeps', 'track', 'of', 'everything', 'good', 'tool', 'for', 'making', 'sure', 'you', 'stay', 'on', 'track', 'with', 'your', 'training']"
17,"['love', 'integration', 'with', 'myfitnesspal', 'ability', 'play', 'music', 'in', 'background', 'only', 'wish', 'there', 'was', 'way', 'program', 'my', 'intervals', 'into', 'app']"
18,"['best', 'sports', 'activity', 'tracker', 'app', 'keep', 'focused', 'on', 'power', 'saving', 'always']"
19,"['after', 'updating', 'app', 'it', 'not', 'working', 'anymore', 'on', 'my', 'galaxy', 'note', 'android', ""it's""]"
20,"['came', 'back', 'endo', 'app', 'primary', 'logging', 'route', 'when', 'my', 'proper', 'option', 'garmin', 'was', 'in', 'for', 'repair', 'endo', 'gave', 'up', 'half', 'way', 'round', 'no', 'alert', 'no', 'explanation', 'not', 'fit', 'for', 'purpose', 'try', 'strava', 'runkeeper', 'garmin', 'app', 'there', 'loads', 'of', 'others', 'out', 'there', ""there's""]"
21,"['love', 'how', 'this', 'tracks', 'everything', 'could', 'do', 'with', 'more', 'workout', 'options', 'little', 'bit', 'disappointing', 'that', 'you', 'can', 'change', 'method', 'of', 'exercise', 'mid', 'workout', ""can't""]"
22,"['very', 'good', 'app', 'if', 'this', 'strava', 'were', 'combined', 'we', 'have', 'perfect', 'app', ""we'd""]"
23,"['very', 'user', 'friendly', 'app']"
24,"['love', 'it', 'but', 'friend', 'running', 'tracks', 'do', 'not', 'update', 'after', 'you', 'first', 'look', 'at', 'them', 'during', 'workout', 'needs', 'fixed', 'for', 'this', 'app', 'reach', 'its', 'potential', 'update', 'still', 'not', 'fixed', 'premium', 'member', 'submitted', 'request', 'which', 'they', 'ignored', 'stay', 'away', 'from', 'this', 'paid', 'app', ""friend's""]"
25,"['user', 'friendly']"
26,"['if', 'you', 'need', 'ble', 'runtasticis', 'your', 'best', 'bet']"
27,"['enjoy', 'every', 'moment', 'of', 'this', 'app', 'helps', 'me', 'track', 'me', 'progress']"
28,"['great', 'for', 'running', 'mtb']"
29,"['love', 'this', 'app', 'got', 'premium', 'by', 'free', 'how', 'good', 'that', 'best', 'exercise', 'app', 'so', 'far']"
30,"['very', 'useful', 'apps']"
